Date (mm/dd/yr),Time,Lat,Lon,Depth,Mag
13-02-1963,09:30:39,24.6,121.8,77,5.4
04-03-1963,13:38:43,24.5,121.8,33,4.8
04-04-1963,13:43:25,21.1,121,27,4.2
25-05-1963,01:35:54,24.6,121.8,69,5.4
14-09-1963,02:13:41,22,121.3,90,5
16-09-1963,00:06:51,22.4,120.5,33,4.8
03-10-1963,05:32:18,22.3,121.1,55,4.4
25-11-1963,16:46:36,22.6,121.3,33,4.7
23-12-1963,16:24:46,24.5,121.8,130,4.7
04-01-1964,10:38:59,21.6,121.8,33,4.7
18-01-1964,12:04:40,23.1,120.5,33,6.8
18-01-1964,13:43:06,23.1,120.8,31,4.5
19-01-1964,08:47:10,21.8,120.9,18,4.6
19-01-1964,16:12:50,23,120.4,33,4.8
20-01-1964,15:39:41,23.2,120.3,49,5.1
26-01-1964,10:02:15,23.1,120.4,37,4.9
31-01-1964,12:30:31,23.8,121,33,4.5
15-02-1964,19:12:17,22.8,120.6,17,4.6
17-02-1964,05:50:42,23.1,120.6,33,4.9
12-03-1964,03:55:14,23.4,121.6,33,5.2
19-06-1964,10:34:34,22.6,121,33,5.2
11-07-1964,08:29:13,22.4,121.4,118,4.9
03-08-1964,07:44:44,22.6,121.3,33,5.4
28-08-1964,18:17:03,23.5,120.6,10,5.2
19-09-1964,19:41:22,21.6,120.9,33,4.3
20-09-1964,20:43:11,24,121.8,37,5.1
01-01-1965,12:46:43,23.5,121.2,33,5.2
15-01-1965,18:34:08,23.6,121.7,33,5.6
28-02-1965,04:40:55,21.2,121.3,33,4.5
01-03-1965,08:18:56,21.1,121.2,42,5.2
01-03-1965,13:20:57,21.2,121.2,42,5.5
15-03-1965,02:02:09,22.4,121.4,33,4.7
18-04-1965,13:14:05,22.9,120.5,22,4.3
26-04-1965,22:15:43,21.1,120.7,33,5.9
26-04-1965,22:23:11,21.5,120.9,33,5.1
17-05-1965,17:19:26,22.5,121.3,21,6.2
28-05-1965,05:16:36,21,120.9,38,5
02-06-1965,20:24:50,21,120.8,33,4.8
06-06-1965,11:21:18,22.8,121.4,38,4.8
13-06-1965,17:28:45,21,120.2,33,4.2
27-06-1965,11:36:08,23.9,121.6,20,5.6
28-06-1965,00:07:32,23.6,121.5,33,4.5
28-06-1965,15:44:56,23.7,121.5,52,5.6
25-07-1965,03:43:31,23.7,121.5,46,4.7
20-08-1965,22:09:25,23.9,121.9,58,4.9
05-09-1965,23:01:54,21.7,120.9,14,4.9
06-09-1965,02:56:17,21.1,121.1,46,4.7
06-09-1965,03:18:40,21.3,121.4,46,5.1
14-09-1965,21:02:22,22.3,120.9,40,4.5
04-10-1965,01:26:03,23.7,121.4,51,4.6
19-11-1965,22:31:23,23.6,121.8,30,5.3
05-12-1965,16:30:57,24,121.9,27,5.3
20-01-1966,23:37:03,22.9,121.3,69,5.1
03-02-1966,17:11:19,24.2,121.9,33,5.2
03-02-1966,17:21:08,24.2,121.8,44,5.2
21-03-1966,20:37:37,21.8,121.1,49,4.8
04-06-1966,01:36:37,23,121.4,43,4.4
04-06-1966,18:03:40,23.1,120.6,25,4.4
08-06-1966,10:46:07,22.9,120.6,21,4.9
28-06-1966,22:57:01,24.7,121.6,20,4.8
15-09-1966,17:10:47,22.9,121.4,46,5.4
15-09-1966,17:24:46,22.9,121.4,47,4.8
16-09-1966,02:01:59,22.8,121.3,50,5
18-09-1966,19:44:29,22.9,121.3,41,4.9
22-01-1967,23:08:17,21.841,121.839,61,4.9
26-01-1967,10:05:03,24.116,121.688,40,4.9
27-01-1967,02:19:58,22.51,120.457,27,4.9
28-01-1967,01:40:28,24.792,121.859,96,5.1
29-01-1967,15:06:41,22.768,121.349,32,5.2
31-01-1967,20:58:16,24.038,121.701,36,4.8
04-03-1967,01:12:32,24.818,121.949,72,4.8
04-03-1967,05:09:24,21.402,121.879,126,5.5
24-03-1967,01:08:06,24.198,121.729,41,4.9
10-04-1967,12:48:45,23.054,121.912,49,4.4
10-05-1967,17:40:08,23.701,121.622,61,5
25-05-1967,03:16:18,24.864,121.921,102,4.5
25-06-1967,04:52:27,23.7,121.9,33,4.2
26-06-1967,02:48:31,24.8,121.6,29,4.4
27-06-1967,23:06:47,23.6,121.5,45,4.8
11-07-1967,00:04:59,23.6,121.6,40,4
17-07-1967,17:17:52,23,120.5,38,4.4
02-08-1967,06:34:19,23.6,121.4,40,4.4
03-09-1967,00:18:03,24.4,121.9,54,4.9
15-09-1967,23:57:30,24.1,120.7,50,5
09-12-1967,13:38:35,23.5,121.6,33,4.6
27-01-1968,13:56:24,23.2,121.6,53,5.2
08-02-1968,09:29:29,23,120.4,55,4.5
03-04-1968,07:57:00,22.8,121.2,47,4.6
